time,TP9,AF7,AF8,TP10
1691552231037,-37.59765625,-37.109375,-34.66796875,-44.43359375
1691552231083.875,-46.38671875,-35.64453125,-29.296875,-35.15625
1691552231130.75,-39.0625,-43.9453125,-35.15625,-45.8984375
1691552231177.625,-39.0625,-37.109375,-25.87890625,-32.2265625
1691552231224.5,-36.62109375,-42.48046875,-26.3671875,-36.62109375
1691552231271.375,-33.203125,-46.875,-33.203125,-17.578125
1691552231318.25,-44.921875,-16.6015625,-26.3671875,-35.64453125
1691552231365.125,-44.921875,-38.0859375,-23.92578125,-32.71484375
1691552231412,-38.57421875,-32.71484375,-30.2734375,-33.203125
1691552231458.875,-49.31640625,-40.0390625,-26.85546875,-42.48046875
1691552231505.75,-31.25,-28.3203125,-26.3671875,-37.109375
1691552231552.625,-34.66796875,-34.1796875,-34.66796875,-36.1328125
1691552231599.5,-47.36328125,-30.76171875,-19.04296875,-31.73828125
1691552231646.375,-33.69140625,-18.06640625,-25.390625,-32.71484375
1691552231693.25,-38.57421875,-37.59765625,-30.76171875,-25.87890625
1691552231740.125,-26.3671875,-41.50390625,-34.66796875,-35.64453125
1691552231787,-43.9453125,-33.203125,-35.15625,-40.0390625
1691552231833.875,-33.69140625,-20.5078125,-27.83203125,-37.109375
1691552231880.75,-28.80859375,-22.4609375,-28.80859375,-34.1796875
1691552231927.625,-42.96875,-31.25,-21.484375,-31.73828125
1691552231974.5,-34.66796875,-34.66796875,-35.15625,-49.31640625
1691552232021.375,-46.38671875,-40.0390625,-29.78515625,-36.1328125
1691552232068.25,-30.76171875,-28.3203125,-25.390625,-37.59765625
1691552232115.125,-40.52734375,-28.80859375,-25.87890625,-29.296875
1691552232162,-30.76171875,-32.71484375,-23.4375,-33.203125
1691552232208.875,-47.8515625,-37.59765625,-30.2734375,-40.0390625
1691552232255.75,-34.1796875,-31.25,-15.13671875,-34.1796875
1691552232302.625,-43.9453125,-41.9921875,-27.83203125,-38.57421875
1691552232349.5,-20.01953125,-20.5078125,-18.5546875,-30.76171875
1691552232396.375,-29.296875,-37.109375,-22.4609375,-38.57421875
1691552232443.25,-35.15625,-17.578125,-23.92578125,-34.1796875
1691552232490.125,-46.38671875,-27.83203125,-37.59765625,-44.43359375
